          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
INDENE+BIN21	      1571.6    -1.97739           1  0.00723497 0.000824108
INDENE+BIN22	     1470.57     -1.9782           1  0.00673578 0.000766563
INDENE+BIN23	     1376.59    -1.97897           1  0.00627497 0.000713512
INDENE+BIN24	     1289.38    -1.97971           1  0.00585054 0.000664711
C10H8+BIN 1	        3731    -1.96303           1   0.0187788  0.00217302
C10H8+BIN 2	        3544    -1.96413           1   0.0177159  0.00204754
C10H8+BIN 3	     3465.12     -1.9646           1    0.017271   0.0019951
C10H8+BIN 4	     3458.38    -1.96464           1   0.0172331  0.00199063
C10H8+BIN 5	      3472.2    -1.96456           1   0.0173108  0.00199979
C10H8+BIN 6	     3478.49    -1.96452           1   0.0173462  0.00200397
C10H8+BIN 7	     3465.55     -1.9646           1   0.0172734  0.00199538
C10H8+BIN 8	     3426.44    -1.96483           1   0.0170536  0.00196949
C10H8+BIN 9	     3359.97    -1.96523           1   0.0166813  0.00192564
C10H8+BIN10	     3268.17    -1.96579           1   0.0161695  0.00186541
C10H8+BIN11	     3155.06    -1.96648           1   0.0155427  0.00179174
C10H8+BIN12	     3025.55    -1.96729           1   0.0148304  0.00170812
C10H8+BIN13	     2884.72    -1.96817           1   0.0140624  0.00161808
C10H8+BIN14	     2743.03    -1.96908           1   0.0132965  0.00152843
C10H8+BIN15	     2592.92    -1.97006           1   0.0124926  0.00143448
C10H8+BIN16	     2443.48    -1.97106           1      0.0117    0.001342
C10H8+BIN17	     2297.28    -1.97205           1   0.0109322  0.00125257
C10H8+BIN18	     2156.21    -1.97303           1   0.0101985  0.00116725
C10H8+BIN19	     2021.56    -1.97399           1  0.00950485  0.00108671
C10H8+BIN20	      1894.1    -1.97492           1  0.00885429  0.00101129
C10H8+BIN21	     1774.25    -1.97582           1  0.00824795 0.000941114
C10H8+BIN22	     1662.11    -1.97668           1  0.00768548 0.000876106
C10H8+BIN23	     1557.58     -1.9775           1  0.00716546 0.000816089
C10H8+BIN24	     1460.42    -1.97828           1  0.00668584  0.00076081
C10H7CH3+BIN 1	     3996.87    -1.96149    0.999999   0.0203102  0.00235421
C10H7CH3+BIN 2	     3820.31    -1.96251    0.999999   0.0192906  0.00223352
C10H7CH3+BIN 3	     3756.09    -1.96288           1   0.0189223  0.00218999
C10H7CH3+BIN 4	     3767.12    -1.96282           1   0.0189855  0.00219745
C10H7CH3+BIN 5	     3798.66    -1.96263           1   0.0191663  0.00221882
C10H7CH3+BIN 6	     3819.81    -1.96251    0.999999   0.0192877  0.00223318
C10H7CH3+BIN 7	      3818.2    -1.96252    0.999999   0.0192785  0.00223209
C10H7CH3+BIN 8	     3787.07     -1.9627           1   0.0190998  0.00221097
C10H7CH3+BIN 9	     3724.47    -1.96307           1   0.0187415  0.00216862
C10H7CH3+BIN10	     3632.56    -1.96361           1   0.0182178  0.00210677
C10H7CH3+BIN11	     3515.69     -1.9643           1    0.017556  0.00202869
C10H7CH3+BIN12	     3379.31    -1.96512           1   0.0167895  0.00193838
C10H7CH3+BIN13	     3229.09    -1.96603           1   0.0159524  0.00183989
C10H7CH3+BIN14	     3076.56    -1.96697           1   0.0151103  0.00174096
C10H7CH3+BIN15	     2913.79    -1.96799           1   0.0142204  0.00163659
C10H7CH3+BIN16	      2750.8    -1.96903           1   0.0133383  0.00153332
C10H7CH3+BIN17	     2590.57    -1.97008           1   0.0124801  0.00143302
C10H7CH3+BIN18	     2435.35    -1.97111           1   0.0116571    0.001337
C10H7CH3+BIN19	     2286.65    -1.97212           1   0.0108767  0.00124611
C10H7CH3+BIN20	     2145.48    -1.97311           1    0.010143   0.0011608
C10H7CH3+BIN21	     2012.37    -1.97406           1  0.00945775  0.00108124
C10H7CH3+BIN22	     1887.52    -1.97497           1  0.00882085  0.00100742
C10H7CH3+BIN23	      1770.9    -1.97584           1  0.00823106  0.00093916
C10H7CH3+BIN24	     1662.28    -1.97667           1   0.0076863 0.000876201
C12H8+BIN 1	     4177.31    -1.96046    0.999999   0.0213631  0.00247905
C12H8+BIN 2	     4008.95    -1.96142    0.999999   0.0203804  0.00236252
C12H8+BIN 3	     3955.78    -1.96173    0.999999    0.020072    0.002326
C12H8+BIN 4	     3979.95    -1.96159    0.999999   0.0202121  0.00234258
C12H8+BIN 5	      4024.6    -1.96133    0.999999   0.0204713   0.0023733
C12H8+BIN 6	     4056.85    -1.96115    0.999999    0.020659  0.00239554
C12H8+BIN 7	     4063.86    -1.96111    0.999999   0.0206999  0.00240039
C12H8+BIN 8	     4039.03    -1.96125    0.999999   0.0205553  0.00238325
C12H8+BIN 9	     3979.85    -1.96159    0.999999   0.0202115  0.00234252
C12H8+BIN10	     3888.52    -1.96211    0.999999   0.0196833  0.00227998
C12H8+BIN11	     3769.64     -1.9628           1   0.0189999  0.00219916
C12H8+BIN12	     3629.01    -1.96363           1   0.0181976  0.00210439
C12H8+BIN13	      3472.7    -1.96456           1   0.0173137  0.00200013
C12H8+BIN14	     3312.97    -1.96552           1   0.0164189  0.00189475
C12H8+BIN15	     3141.69    -1.96657           1   0.0154689  0.00178307
C12H8+BIN16	     2969.48    -1.96764           1   0.0145238  0.00167216
C12H8+BIN17	     2799.65    -1.96872           1   0.0136017  0.00156414
C12H8+BIN18	     2634.66    -1.96979           1   0.0127153   0.0014605
C12H8+BIN19	     2476.24    -1.97084           1   0.0118731  0.00136219
C12H8+BIN20	     2325.53    -1.97186           1     0.01108  0.00126977
C12H8+BIN21	     2183.16    -1.97284           1   0.0103381  0.00118347
C12H8+BIN22	     2049.41    -1.97379           1  0.00964781  0.00110329
C12H8+BIN23	     1924.29     -1.9747           1  0.00900783  0.00102908
C12H8+BIN24	      1807.6    -1.97556           1  0.00841615 0.000960571
BIPHENYL+BIN 1	     4212.53    -1.96027    0.999999   0.0215698  0.00250358
BIPHENYL+BIN 2	     4045.86    -1.96121    0.999999    0.020595  0.00238796
BIPHENYL+BIN 3	     3994.95     -1.9615    0.999999   0.0202991  0.00235289
BIPHENYL+BIN 4	     4021.78    -1.96135    0.999999   0.0204549  0.00237136
BIPHENYL+BIN 5	      4069.1    -1.96108    0.999999   0.0207304    0.002404
BIPHENYL+BIN 6	     4103.61    -1.96088    0.999999   0.0209317  0.00242787
BIPHENYL+BIN 7	     4112.39    -1.96083    0.999999    0.020983  0.00243396
BIPHENYL+BIN 8	     4088.87    -1.96097    0.999999   0.0208457  0.00241767
BIPHENYL+BIN 9	     4030.43     -1.9613    0.999999   0.0205052  0.00237732
BIPHENYL+BIN10	     3939.27    -1.96182    0.999999   0.0199765  0.00231468
BIPHENYL+BIN11	     3820.06    -1.96251    0.999999   0.0192891  0.00223335
BIPHENYL+BIN12	     3678.64    -1.96334           1     0.01848  0.00213773
BIPHENYL+BIN13	     3521.17    -1.96427           1   0.0175869  0.00203234
BIPHENYL+BIN14	     3360.05    -1.96523           1   0.0166817  0.00192569
BIPHENYL+BIN15	     3187.12    -1.96629           1   0.0157199  0.00181256
BIPHENYL+BIN16	     3013.11    -1.96737           1   0.0147623  0.00170013
BIPHENYL+BIN17	      2841.4    -1.96845           1   0.0138275  0.00159057
BIPHENYL+BIN18	     2674.49    -1.96953           1   0.0129285   0.0014854
BIPHENYL+BIN19	     2514.16    -1.97058           1   0.0120739  0.00138561
BIPHENYL+BIN20	     2361.56    -1.97161           1   0.0112689  0.00129177
BIPHENYL+BIN21	     2217.36     -1.9726           1   0.0105157  0.00120411
BIPHENYL+BIN22	     2081.85    -1.97356           1  0.00981467  0.00112266
BIPHENYL+BIN23	     1955.05    -1.97447           1  0.00916462  0.00104725
BIPHENYL+BIN24	     1836.76    -1.97535           1  0.00856352 0.000977626
FLUORENE+BIN 1	     4418.07    -1.95911    0.999999   0.0227848  0.00264795
FLUORENE+BIN 2	     4261.97    -1.95999    0.999999   0.0218608  0.00253813
FLUORENE+BIN 3	     4224.85     -1.9602    0.999999   0.0216423  0.00251219
FLUORENE+BIN 4	      4267.9    -1.95995    0.999999   0.0218957  0.00254228
FLUORENE+BIN 5	     4331.39     -1.9596    0.999999   0.0222707  0.00258683
