          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
BIN11+BIN20	     19178.1    -1.56279    0.999906      249513     1.16112    0.208563
BIN11+BIN21	     18974.5     -1.5599    0.999904      249756     1.16963    0.210759
BIN11+BIN22	     18928.2    -1.55924    0.999904      249878     1.17156     0.21126
BIN11+BIN23	       19011    -1.56042    0.999904      249939      1.1681    0.210365
BIN11+BIN24	     19197.9    -1.56307    0.999906      249969      1.1603     0.20835
BIN12+BIN12	       25970    -1.66172    0.999948      250000    0.850261    0.136997
BIN12+BIN13	     23535.9    -1.62447    0.999934      333333    0.971233    0.163024
BIN12+BIN14	     21171.1    -1.59086    0.999919      400000     1.07662    0.187512
BIN12+BIN15	     18917.4    -1.55909    0.999904      444444     1.17201    0.211378
BIN12+BIN16	     16997.9     -1.5313    0.999889      470588     1.25156     0.23272
BIN12+BIN17	     15448.4    -1.50791    0.999875      484848     1.31548    0.250975
BIN12+BIN18	       14253    -1.48901    0.999862      492308     1.36497    0.265881
BIN12+BIN19	     13371.4    -1.47446    0.999853      496124     1.40169    0.277432
BIN12+BIN20	     12756.6    -1.46396    0.999845      498054     1.42746    0.285811
BIN12+BIN21	     12363.7    -1.45707     0.99984      499025     1.44401    0.291322
BIN12+BIN22	     12152.9    -1.45331    0.999837      499512     1.45292    0.294331
BIN12+BIN23	     12090.9     -1.4522    0.999837      499756     1.45554    0.295224
BIN12+BIN24	     12150.1    -1.45326    0.999837      499878     1.45304    0.294371
BIN13+BIN13	     20223.1    -1.57754    0.999913      500000     1.11714    0.197437
BIN13+BIN14	     17181.4    -1.53401     0.99989      666667     1.24398    0.230625
BIN13+BIN15	     14418.3    -1.49167    0.999864      800000     1.35811    0.263771
BIN13+BIN16	       12163    -1.45349    0.999838      888889     1.45249    0.294186
BIN13+BIN17	     10404.4    -1.42023    0.999811      941176     1.52775    0.320945
BIN13+BIN18	     9078.67    -1.39229    0.999787      969697     1.58585    0.343533
BIN13+BIN19	     8107.42    -1.36974    0.999766      984615     1.62931    0.361805
BIN13+BIN20	     7417.09    -1.35234    0.999749      992248     1.66072    0.375892
BIN13+BIN21	     6946.44    -1.33971    0.999736      996109     1.68239    0.386119
