Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9,Group_10,Group_11,Group_12,Group_13,Group_14,Group_15,Group_16,Group_17,Group_18,Group_19,Group_20,Group_21,Group_22,Group_23,Group_24,Group_25
119838447921853.78,35940203772816.695,20268406868872.99,14181477782839.64,876361288191.847,103981328023.43585,62698514025.58735,66531674919.16496,66256086598.62474,59762297756.280754,47629006490.38002,31487125581.013325,17497355227.48217,8554099040.149442,3738426000.2208943,1484727230.1591291,551594621.2897531,207286926.36427763,55532152.88672787,10405493.306714203,1353721.7498772484,121124.35257419571,7211.725789866664,276.2550424811111,6.633087412008523
119972655429887.97,35978475080980.1,20284438384910.67,14192282578202.896,1100842472330.9,169968605095.7456,112818411211.37428,107747152716.5039,94357602415.65984,74534698612.54193,52252085488.20164,31116815499.798943,15984349130.217962,7378107438.011894,3103091994.927115,1209850111.2123573,448432007.68574613,172436574.61993313,51631397.88159552,11040249.879228435,1641892.1957632229,166513.7060625395,11061.107441695483,464.62208718407635,12.077186073660958
119807632373224.7,35930143782864.32,20263771871475.258,14180636524537.18,873891415868.4692,102961862191.09442,62159629054.74431,65891344951.74652,65607977923.0822,59568376450.54879,47994789770.321144,32015890336.483025,17879736200.89329,8744269610.063383,3806202557.6895313,1498797755.9763916,549948296.5782279,204879140.84351307,54420086.48951496,10130049.335813867,1313442.0511275632,117591.88591772558,7042.836573881229,273.31865900552197,6.707933774691536
119883857314710.11,35952805396376.86,20273526547394.758,14186818539073.025,986271851952.1903,137967809511.5384,87921131681.23672,88148413791.68332,82349726272.8053,69863808410.46025,52688456665.63343,33415219359.90875,17996362850.75359,8532878567.842499,3579168168.0103164,1332116678.8326998,445730797.48187345,139385483.3401787,35165453.93090935,6209918.155527508,762797.7867787688,65094.67858871502,3744.7323644173775,141.0554463627928,3.4159425772000214
119739824729660.39,35911812734500.37,20255152776976.54,14178315772650.0,789397390393.6123,84408615250.29921,47539753655.125244,52709863882.10987,55971389401.38365,54056849241.33705,46135290124.9249,32340256063.44318,18786345424.362526,9437083201.555698,4141697602.248221,1603274451.7430444,561567035.7820269,193219342.44220617,46530348.51474188,7755036.59290739,898034.346119638,72146.59634583651,3906.281466631202,137.85628613616223,3.0757521780745893
119364356699552.5,35810674326762.78,20210950020680.375,14151244964304.852,983652608302.0061,113242833666.62296,71836045276.53387,68962649639.12648,61836419035.74983,54067265836.307625,43342567866.20717,28051642151.134056,15016548767.534554,7378430143.739343,3533064600.126022,1667792826.4459658,821504691.1637704,376354516.7939333,123475120.90395913,27801955.23539324,4133915.1028206246,396129.5385485442,23532.66692364229,830.956702968542,16.76742220597503
119636433272709.1,35882981573005.35,20242296357660.45,14170106149229.102,739943344117.5424,68819198815.12997,36272320256.56725,41375991135.50751,45687029204.51874,46276657227.72153,41482951493.27086,30133649230.553623,17926314942.882053,9215804661.688503,4202224129.7487345,1743295113.4765518,717581239.5606225,261247175.17615634,66903782.331677906,11964834.749514407,1488583.3049297186,128695.68696924194,7534.868595729076,289.73523337532845,7.145124196383459
119492059481998.45,35841169446088.95,20225670519725.824,14156059395249.73,798955097157.3477,82175310229.22794,46986248296.02184,51159063973.43439,53228820958.448456,52382857822.95833,46594922158.1236,33511664703.69715,19535082292.206806,9755790440.476448,4293767768.8834453,1708578483.7101085,645594227.8765204,237627601.19585556,61722785.24554696,11172974.279991318,1405321.1156079865,122731.44627248573,7276.007570294386,285.1339909060523,7.2144028415968595
120031909485741.5,35995202399070.56,20290756109976.746,14199117489533.688,844730046421.7565,90074309404.05981,49574844505.2153,53855244605.05719,55842038926.94668,50712446252.38397,39728370690.41416,25961221165.517025,14492458025.267328,7252208197.783137,3331983509.1984744,1451810720.5515757,694742649.7381613,291082188.8372237,89578292.36013296,19731527.44634393,3007702.462161141,310386.1176572705,20869.076109012763,882.911076944233,23.096421624867343
120048074949734.48,36001631905181.52,20293744854765.23,14199262756107.283,846145168900.0872,93598684970.72585,53680495560.00752,58799721817.19647,60554429342.84012,54129203583.558464,41655058813.1085,26914755081.470768,14952335960.46201,7465310848.453513,3411187760.5255265,1459894016.897922,643447534.6104879,254723247.38846222,72338187.21339837,14451767.329785146,1990862.0412165474,185606.88253906922,11234.777130051203,424.5382408585852,9.76145453971569
