Bin_name(1)         nC[-](2)            nH[-](3)            nO[-](4)            H/C[-](5)           MW[kg/kmol](6)      density[kg/m3](7)   mass[kg](8)         volume[m3](9)       Dsph[m](10)         Dcol[m](11)         Dpp[m](12)          Df[-](13)           numPP[#](14)        Bin_section(15)     
BIN9BJ              5.000000e+03        9.990000e+02        0.000000e+00        1.998000e-01        6.106199e+04        1.250000e+03        1.013898e-22        8.111182e-26        5.370670e-09        5.370670e-09        5.370670e-09        3.000000            1.0                 9                   
BIN9BJliq           5.000000e+03        9.990000e+02        0.000000e+00        1.998000e-01        6.106199e+04        1.250000e+03        1.013898e-22        8.111182e-26        5.370670e-09        5.370670e-09        5.370670e-09        3.000000            0.0                 9                   
BIN9BJaggI          5.000000e+03        9.990000e+02        0.000000e+00        1.998000e-01        6.106199e+04        1.250000e+03        1.013898e-22        8.111182e-26        5.370670e-09        9.091089e-09        2.272035e-09        1.800000            15.0                9                   
BIN9CJ              5.000000e+03        2.500000e+02        0.000000e+00        5.000000e-02        6.030700e+04        1.250000e+03        1.001362e-22        8.010892e-26        5.348444e-09        5.348444e-09        5.348444e-09        3.000000            1.0                 9                   
BIN9CJliq           5.000000e+03        2.500000e+02        0.000000e+00        5.000000e-02        6.030700e+04        1.250000e+03        1.001362e-22        8.010892e-26        5.348444e-09        5.348444e-09        5.348444e-09        3.000000            0.0                 9                   
BIN9CJaggI          5.000000e+03        2.500000e+02        0.000000e+00        5.000000e-02        6.030700e+04        1.250000e+03        1.001362e-22        8.010892e-26        5.348444e-09        9.028469e-09        2.272035e-09        1.800000            14.8                9                   
BIN10AJ             1.000000e+04        5.749000e+03        0.000000e+00        5.749000e-01        1.259050e+05        1.287500e+03        2.090577e-22        1.623749e-25        6.768723e-09        6.768723e-09        6.768723e-09        3.000000            1.0                 10                  
BIN10AJliq          1.000000e+04        5.749000e+03        0.000000e+00        5.749000e-01        1.259050e+05        1.287500e+03        2.090577e-22        1.623749e-25        6.768723e-09        6.768723e-09        6.768723e-09        3.000000            0.0                 10                  
BIN10AJaggI         1.000000e+04        5.749000e+03        0.000000e+00        5.749000e-01        1.259050e+05        1.287500e+03        2.090577e-22        1.623749e-25        6.768723e-09        1.358975e-08        2.272035e-09        1.800000            30.9                10                  
BIN10BJ             1.000000e+04        1.999000e+03        0.000000e+00        1.999000e-01        1.221250e+05        1.287500e+03        2.027812e-22        1.575000e-25        6.700296e-09        6.700296e-09        6.700296e-09        3.000000            1.0                 10                  
